RegionID,SizeRank,RegionName,RegionType,StateName,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23
395106,475,"Somerset, PA",msa,PA,159317,159617,158967,159267,159267,159900,159900,158250,157950,157800,159150,162483,162333,164300,164300,167133,168800,165767,163233,158933,158300,157500,155167,156500,160633,167267,168267,168267,166567,168200,166567,169967,171667,178800,186133,186967,183167,185667,189833,197833,191333,185483,175783,172117,169800,171467,163467,158267,158300,169267,187633,197633,196633,191600,184900,185600,180633,175333,171300,167467,165633
753928,476,"Wisconsin Rapids, WI",msa,WI,132717,134417,135983,136983,138067,138717,139350,139900,138250,136183,133300,134950,138017,143667,147000,149033,149600,148267,145233,140267,136600,133267,132433,134100,140467,146267,149600,146250,142917,138583,138900,138900,139900,139900,142000,145367,152033,156633,163200,166400,169733,169800,169867,166500,166500,166600,169933,173230,176547,183213,186517,189517,192383,191150,192817,193283,193950,190967,185150,182117,181504
753893,477,"Jefferson, GA",msa,GA,257750,266083,276933,284117,282450,281600,276517,273033,268067,266450,274933,286267,294600,297633,297933,297967,295767,295767,295767,294933,291600,290917,289250,288867,287850,290550,291653,294653,296953,298587,294287,290953,290267,293141,293141,293508,293800,300500,311500,328000,338150,341817,350117,356633,366633,368333,374500,372833,373833,376000,386617,402267,413900,414783,406433,399767,396583,389933,384967,384967,393317
394736,478,"Kapaa, HI",msa,HI,837667,872667,916333,943333,933000,928000,912000,898706,876373,871706,868633,864133,843800,843798,857298,881298,898000,908667,919000,918833,941500,956500,956333,915500,889500,883083,888917,869250,862500,852500,848833,836500,826500,835000,837167,838833,853667,908000,988000,1005333,1051333,1076333,1186667,1193333,1243333,1243333,1259000,1163833,1070500,1071333,1158833,1254500,1304667,1344000,1378000,1380500,1373830,1360830,1358330,1350000,1363000
394955,479,"Palatka, FL",msa,FL,179267,181233,188100,194767,199683,199517,196183,192933,189916,193116,193116,193095,196562,204895,214900,217933,219300,212633,206267,199600,199300,199300,199300,199300,199167,199400,199700,199683,199750,194750,189917,183283,183317,184967,186633,185633,184000,184000,189667,188817,187748,181415,180988,183690,194357,210633,220633,216300,211300,204633,216633,229967,249583,256217,254517,251567,249683,247883,251250,254833,265833
394626,480,"Gallup, NM",msa,NM,149633,144817,145000,146014,146998,145831,148117,147783,147583,145950,143450,141233,141233,147083,147300,150450,153117,161483,165667,165333,165333,164667,167917,166917,170250,174820,181086,185503,183683,183083,178183,178183,184850,190333,188333,180667,175000,176333,188467,196800,199800,189667,184333,179833,186167,188833,200300,199533,210367,218733,226667,219000,207167,199333,192833,207083,214917,221583,218250,222417,225750
394683,481,"Hobbs, NM",msa,NM,165333,163417,168083,174417,177667,179300,179600,179100,182283,185317,189233,189083,189083,187667,187000,185833,182500,181667,175083,177667,175500,182083,183000,185517,189683,193850,195250,193417,192417,197650,196783,194783,187950,183317,182150,185167,189833,190750,189333,191667,193917,195667,191667,189583,185833,185833,186000,195417,207083,217333,222667,222667,217667,213333,210000,213333,213333,213333,210000,212483,208567
395088,482,"Shawnee, OK",msa,OK,152567,155100,158067,157200,156600,152617,151983,155483,158500,157467,149033,146367,145883,150317,156817,163133,167600,168067,169767,170767,171600,170733,172433,172300,174583,173249,174414,177498,183732,181050,177383,170783,173370,175037,176737,183733,187033,191700,188633,192000,189817,190817,190483,191300,191300,190283,190317,188650,182483,194117,209117,216600,206633,190967,186000,185975,186208,184508,182867,189783,201483
786258,483,"Fort Payne, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192717,199083,195900,203133,208467,216483,218583,219917,218583,211333,204900,214233,225900,238500,245500,248800,255300,251967,252000,253817,259117,260783,258267,261633,268300
394884,484,"Mount Airy, NC",msa,NC,154783,158950,168950,175467,179950,179650,179950,179267,179233,182417,182750,194083,197500,206683,202350,200750,193683,185350,179883,180800,185800,188800,185617,180617,181417,184750,193083,202950,213133,213133,207600,209233,206750,199083,187450,196600,205300,211933,213600,211250,210433,216600,233583,237733,231433,211433,211300,201950,203283,196750,194183,202550,212083,232500,240500,244000,239000,234633,238117,242783,251150
395132,485,"Stevens Point, WI",msa,WI,203283,212450,212750,211600,204100,207217,203050,202750,198000,194633,192033,190333,194233,205500,217200,223300,216633,208967,203950,202250,201550,203233,203233,208250,208283,214950,218267,223233,223267,223300,223333,221667,217483,215783,214017,213200,209900,215000,221633,231600,237417,237417,231617,224100,222433,224900,228233,224933,223300,229967,240267,251933,258600,263267,261583,254917,259950,266600,269933,264267,262633
394647,486,"Greeneville, TN",msa,TN,179950,183783,190267,193267,194630,193146,193396,191533,189833,186567,188933,190550,197217,199050,200767,204100,208250,208250,204933,199917,196250,192900,192900,198267,204800,212833,221150,227650,224650,218150,207650,205967,209117,215767,214117,211650,210833,217500,215833,220800,225767,232933,233783,230450,230617,233100,236433,243233,246417,248783,245150,248633,257967,271600,278267,285600,287300,289817,284950,284950,285600
