Month,ZipCode,MeanValue
2000-10-31,78753,136109.3912
2000-10-31,78704,231639.3484
2000-10-31,78758,138005.6403
2000-10-31,78748,189583.7195
2000-10-31,78744,106261.8923
2000-10-31,78741,136349.674
2000-10-31,78759,298318.2445
2000-10-31,78653,150703.3972
2000-10-31,78723,148452.5982
2000-10-31,78749,281546.1517
2000-10-31,78750,271135.238
2000-10-31,78754,174109.4631
2000-10-31,78727,197001.1824
2000-10-31,78746,544795.6274
2000-10-31,78705,221005.4844
2000-10-31,78738,357271.3176
2000-10-31,78724,104504.2529
2000-10-31,78728,198846.3058
2000-10-31,78617,143225.2867
2000-10-31,78731,394453.8009
2000-10-31,78757,248008.9409
2000-10-31,78752,132602.8705
2000-10-31,78703,494061.7804
2000-10-31,78734,269970.4721
2000-10-31,78739,370767.6335
2000-10-31,78735,362539.1151
2000-10-31,78747,195554.7855
2000-10-31,78732,407165.9197
2000-10-31,78751,244869.922
2000-10-31,78645,178529.7642
2000-10-31,78726,308088.8946
2000-10-31,78730,486808.343
2000-10-31,78733,420941.0203
2000-10-31,78721,125413.3226
2000-10-31,78701,338301.7861
2000-10-31,78756,283591.6442
2000-10-31,78736,206523.3038
2000-10-31,78652,195391.7658
2000-10-31,78669,238974.6129
2000-10-31,78725,109280.1538
2000-10-31,78719,132525.0363
2000-11-30,78660,185136.85
2000-11-30,78745,155190.9401
2000-11-30,78753,136800.4426
2000-11-30,78704,232171.7932
2000-11-30,78758,138815.4867
2000-11-30,78748,189560.6739
2000-11-30,78744,106735.4252
2000-11-30,78741,136751.9308
2000-11-30,78759,299184.5585
2000-11-30,78653,150343.2589
2000-11-30,78723,148211.8925
2000-11-30,78749,281445.3907
2000-11-30,78750,271765.0212
2000-11-30,78754,174600.5577
2000-11-30,78727,199015.6395
2000-11-30,78746,546958.9953
2000-11-30,78705,222983.1172
2000-11-30,78738,358440.1796
2000-11-30,78724,104696.1385
2000-11-30,78728,199840.7723
2000-11-30,78617,143150.065
2000-11-30,78731,396885.3881
2000-11-30,78757,249306.8297
2000-11-30,78752,132389.8983
2000-11-30,78703,498798.5192
2000-11-30,78734,270693.0089
2000-11-30,78739,373217.4614
2000-11-30,78735,362789.0108
2000-11-30,78747,196911.8533
2000-11-30,78732,410459.6542
2000-11-30,78751,244893.0566
2000-11-30,78645,179034.7388
2000-11-30,78726,309568.4414
2000-11-30,78730,488485.9806
2000-11-30,78733,422248.7576
2000-11-30,78721,126227.9614
2000-11-30,78701,338037.5549
2000-11-30,78756,281837.0288
2000-11-30,78736,203716.543
2000-11-30,78652,197520.3402
2000-11-30,78669,239322.4565
2000-11-30,78725,109448.2948
2000-11-30,78719,131642.6257
2000-12-31,78660,185639.0751
2000-12-31,78745,155539.5127
2000-12-31,78753,137503.3629
2000-12-31,78704,232911.5193
2000-12-31,78758,139752.093
2000-12-31,78748,189536.1335
2000-12-31,78744,107341.3288
2000-12-31,78741,137227.697
2000-12-31,78759,300029.5105
2000-12-31,78653,150497.184
2000-12-31,78723,147155.9322
2000-12-31,78749,281659.8863
2000-12-31,78750,272963.8761
2000-12-31,78754,175375.7375
2000-12-31,78727,200267.7026
2000-12-31,78746,548019.7407
2000-12-31,78705,224075.7121
2000-12-31,78738,360160.6385
2000-12-31,78724,104818.3528
2000-12-31,78728,200874.5929
2000-12-31,78617,143077.8892
2000-12-31,78731,398520.2051
2000-12-31,78757,251085.3929
2000-12-31,78752,132183.7122
2000-12-31,78703,504426.8864
2000-12-31,78734,272404.3412
2000-12-31,78739,374943.3736
2000-12-31,78735,365265.6544
2000-12-31,78747,198648.7396
2000-12-31,78732,413252.7916
2000-12-31,78751,245736.9551
2000-12-31,78645,179990.8185
2000-12-31,78726,311611.301
2000-12-31,78730,491103.4699
2000-12-31,78733,424585.9018
2000-12-31,78721,125832.5867
2000-12-31,78701,336889.3807
2000-12-31,78756,281656.5848
2000-12-31,78736,201306.081
2000-12-31,78652,200782.5508
2000-12-31,78669,240064.1868
2000-12-31,78725,109940.2678
2000-12-31,78719,130343.8922
2001-01-31,78660,186007.3412
2001-01-31,78745,156117.801
2001-01-31,78753,138002.7554
2001-01-31,78704,233459.6247
2001-01-31,78758,140520.0896
2001-01-31,78748,189664.4743
2001-01-31,78744,108080.4163
2001-01-31,78741,137204.1377
2001-01-31,78759,300698.134
2001-01-31,78653,150216.4104
2001-01-31,78723,144555.4659
2001-01-31,78749,282180.037
2001-01-31,78750,273809.1888
2001-01-31,78754,175822.6724
2001-01-31,78727,200763.1866
2001-01-31,78746,547560.7012
2001-01-31,78705,223656.01
2001-01-31,78738,360976.3576
2001-01-31,78724,104907.9414
2001-01-31,78728,201686.9625
2001-01-31,78617,142979.5966
2001-01-31,78731,397587.9972
2001-01-31,78757,250904.6065
2001-01-31,78752,130884.4214
2001-01-31,78703,507964.5653
2001-01-31,78734,274034.036
2001-01-31,78739,375040.7925
2001-01-31,78735,368335.1779
2001-01-31,78747,199741.9502
2001-01-31,78732,414793.2903
2001-01-31,78751,246401.0401
2001-01-31,78645,180516.7715
2001-01-31,78726,314004.4646
2001-01-31,78730,493498.176
2001-01-31,78733,426421.1692
2001-01-31,78721,124846.9453
2001-01-31,78701,333024.4279
2001-01-31,78756,282674.2459
2001-01-31,78736,200864.2948
2001-01-31,78652,203817.351
2001-01-31,78669,241019.6133
2001-01-31,78725,110371.3887
2001-01-31,78719,128337.2239
2001-02-28,78660,186248.9172
2001-02-28,78745,155953.5832
2001-02-28,78753,138548.6893
2001-02-28,78704,233899.8178
2001-02-28,78758,141097.5725
2001-02-28,78748,189687.9009
2001-02-28,78744,108826.7915
2001-02-28,78741,137331.6912
2001-02-28,78759,301083.9029
2001-02-28,78653,149654.5948
2001-02-28,78723,143411.207
2001-02-28,78749,282207.3812
2001-02-28,78750,273774.3507
2001-02-28,78754,176228.2187
2001-02-28,78727,200897.1795
